pickup_hour,total_revenue
18,1288181.250001153
17,1234577.5800010173
14,1186969.0300009635
15,1186756.850000971
16,1137559.340000839
19,1101843.660000747
13,1057287.5200007448
12,1045691.6400007528
21,1032029.1700005477
0,1001942.2000005984
11,999538.1500006544
1,921104.6500004958
22,910330.3700003667
20,878537.880000361
23,824000.6300002285
10,806282.5400003038
2,782032.8900002864
9,758520.6700002251
8,691341.5600001141
3,645514.200000046
7,601708.0399999643
4,523179.48999984877
6,484116.28999986063
5,377690.6099999204
